"Date","Green_Returns","Brown_Returns","BMG"
2007-01-31,0.0344529630716981,0.0271500647621951,-0.00730289830950299
2007-02-28,-0.0124666449698113,0.0053920446097561,0.0178586895795674
2007-03-31,0.000900345969924812,0.0155376519817073,0.0146373060117825
2007-04-30,0.0376506402921348,0.034841074195122,-0.00280956609701288
2007-05-31,0.0356849443108614,0.0325266474060606,-0.00315829690480082
2007-06-30,-0.0197456825947955,-0.0143908480545455,0.00535483454025009
2007-07-31,-0.0379879021301115,-0.0260714649515152,0.0119164371785964
2007-08-31,0.0218887732713755,0.0140201734121212,-0.00786859985925425
2007-09-30,0.0313614760074349,0.033567139169697,0.00220566316226203
2007-10-31,0.0234306865613383,0.0321682462289157,0.00873755966757737
2007-11-30,-0.0458839504777778,-0.0362295024578313,0.00965444801994645
2007-12-31,-0.00989453322592593,-0.00658252389156627,0.00331200933435966
2008-01-31,-0.0495818483481481,-0.0321700611024096,0.0174117872457385
2008-02-29,-0.0358517888296296,-0.0108376355963855,0.0250141532332441
2008-03-31,0.0042151457195572,-0.0217104363053892,-0.0259255820249464
2008-04-30,0.0577898519705882,0.0638086848383234,0.00601883286773512
2008-05-31,0.0262154671323529,0.029024802005988,0.00280933487363508
2008-06-30,-0.106541746783088,-0.0830986578622755,0.0234430889208128
2008-07-31,0.0243656318455882,0.00616433034730539,-0.0182013014982828
2008-08-31,0.0357120153933824,0.0237371310718563,-0.0119748843215261
2008-09-30,-0.0750175176263736,-0.103033911922156,-0.0280163942957821
2008-10-31,-0.206257467208791,-0.173679519712575,0.0325779474962163
2008-11-30,-0.100253670681319,-0.0841102999041916,0.0161433707771271
2008-12-31,0.0510440974285714,0.0371756659580838,-0.0138684314704876
2009-01-31,-0.0900597153296703,-0.0791760701556886,0.0108836451739817
2009-02-28,-0.100198656813187,-0.120652594646707,-0.0204539378335198
2009-03-31,0.111458361915751,0.0853769074850299,-0.026081454430721
2009-04-30,0.185816559937729,0.17788714011976,-0.00792941981796846
2009-05-31,0.0403681813003663,0.0481188599640719,0.00775067866370556
2009-06-30,0.00930513649450549,-0.00516662632335329,-0.0144717628178588
2009-07-31,0.0910524911098901,0.0941375335389222,0.00308504242903204
2009-08-31,0.0650537165109489,0.047008936988024,-0.018044779522925
2009-09-30,0.0439844925182482,0.0578251611856287,0.0138406686673806
2009-10-31,-0.03264164036,-0.0385826177125749,-0.00594097735257485
2009-11-30,0.0530208461630435,0.0620056464821429,0.00898480031909938
2009-12-31,0.0426824929384058,0.0530651999880952,0.0103827070496894
2010-01-31,-0.0263039892779783,-0.0297530475833333,-0.003449058305355
2010-02-28,0.0405893283597122,0.0397488264642857,-0.000840501895426518
2010-03-31,0.0730020604856115,0.0661398958273809,-0.00686216465823057
2010-04-30,0.0397193176690647,0.0384705240118343,-0.00124879365723043
2010-05-31,-0.0697647940503597,-0.0667569246449704,0.00300786940538929
2010-06-30,-0.0566995307571429,-0.0503749747218935,0.00632455603524937
2010-07-31,0.0647576108678571,0.0789192623609467,0.0141616514930896
2010-08-31,-0.0475196473785714,-0.0368852973235294,0.010634350055042
2010-09-30,0.105162033525,0.0949519486,-0.010210084925
2010-10-31,0.0378007981857143,0.0436478866882353,0.005847088502521
2010-11-30,0.0088410951,0.00681754258479532,-0.00202355251520468
2010-12-31,0.0704191903439716,0.0592066264210526,-0.011212563922919
2011-01-31,0.0220079181201413,0.0283557273625731,0.00634780924243176
2011-02-28,0.040020611180212,0.0331718390697674,-0.00684877211044457
2011-03-31,0.00941387808480565,0.0195061604885057,0.0100922824037001
2011-04-30,0.0383769846219081,0.0345057399885058,-0.00387124463340238
2011-05-31,-0.00273369024381625,-0.0072312995862069,-0.00449760934239064
2011-06-30,-0.0190020321236749,-0.0159025275828571,0.00309950454081777
2011-07-31,-0.0405325969434629,-0.03552772232,0.00500487462346289
2011-08-31,-0.0588727728586572,-0.0561115732171429,0.00276119964151439
2011-09-30,-0.0830465457632509,-0.0876018953011364,-0.00455534953788549
2011-10-31,0.12939612843662,0.134527571090909,0.00513144265428939
2011-11-30,-0.00829025331929824,0.00496616639772727,0.0132564197170255
2011-12-31,0.0110665987263158,-0.00286234560227273,-0.0139289443285885
2012-01-31,0.0739692726105263,0.0677810251306818,-0.00618824747984449
2012-02-29,0.0436126985087719,0.0390599191647727,-0.0045527793439992
2012-03-31,0.0404205083181818,0.015339510125,-0.0250809981931818
2012-04-30,-0.00601301213636364,0.00111973457062147,0.00713274670698511
2012-05-31,-0.0663186915853659,-0.0495865328932584,0.0167321586921074
2012-06-30,0.0291164453194444,0.031046456994382,0.00193001167493758
2012-07-31,-0.00241704308333333,0.0154615648707865,0.0178786079541199
2012-08-31,0.0355355528020833,0.0213702691460674,-0.0141652836560159
2012-09-30,0.0203532424409722,0.0234971279101124,0.00314388546914014
2012-10-31,-0.0121964453715278,0.00176493204469274,0.0139613774162205
2012-11-30,0.0191565664756944,0.0447706773854749,0.0256141109097804
2012-12-31,0.0188902002222222,0.0173273462960894,-0.00156285392613284
2013-01-31,0.0705413029896194,0.0585091105722222,-0.0120321924173971
2013-02-28,0.0151998875,0.0202784207277778,0.00507853322777778
2013-03-31,0.041619117537931,0.0504221852444444,0.00880306770651341
2013-04-30,0.022549910862069,0.0101161333222222,-0.0124337775398467
2013-05-31,0.0325206580824742,0.00952709632777778,-0.0229935617546965
2013-06-30,-0.00902726640273038,-0.0142153637513812,-0.00518809734865084
2013-07-31,0.0557349963754266,0.0548861792983425,-0.000848817077084084
2013-08-31,-0.0245655208532423,-0.0246249629392265,-5.94420859841988e-05
