This file was created by CMPT_ME_PRIOR_RETS using the 202111 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
Mom    is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -12 to - 2.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom   
195512,  -1.35
195601,  -1.40
195602,   1.96
195603,   3.60
195604,   2.58
195605,  -1.61
195606,   2.73
195607,   2.53
195608,  -0.69
195609,  -0.75
195610,   2.43
195611,   3.41
195612,   3.82
195701,  -3.09
195702,   0.32
195703,  -0.18
195704,   1.00
195705,   0.48
195706,   0.79
195707,  -0.08
195708,   0.47
195709,   0.53
195710,   1.95
195711,   1.27
195712,   7.82
195801,  -7.62
195802,   3.73
195803,  -1.88
195804,   1.84
195805,  -1.80
195806,  -0.88
195807,  -3.70
195808,   0.21
195809,  -1.10
195810,   3.15
195811,   1.58
195812,  -0.65
195901,  -0.26
195902,   3.45
195903,   0.16
195904,   3.17
195905,   1.49
195906,   2.90
195907,  -0.30
195908,  -1.00
195909,   0.93
195910,   3.71
195911,   2.23
195912,   1.03
196001,  -3.54
196002,   3.92
196003,   1.38
196004,   2.84
196005,   4.79
196006,   0.86
196007,  -0.88
196008,   1.91
196009,   0.32
196010,   1.25
196011,   3.78
196012,   1.41
196101,  -4.00
196102,   0.98
196103,   4.54
196104,   3.60
196105,  -1.57
196106,   0.33
196107,   0.27
196108,   1.59
196109,   0.82
196110,   3.11
196111,   1.35
196112,  -2.21
196201,  -2.03
196202,  -1.01
196203,   1.84
196204,   2.91
196205,   0.41
196206,   6.46
196207,   0.68
196208,  -0.60
196209,   3.95
196210,   0.76
196211,  -7.16
196212,   5.89
196301,  -2.11
196302,   2.53
196303,   1.62
196304,  -0.09
196305,   0.33
196306,   1.21
196307,   0.97
196308,   1.01
196309,   0.19
196310,   3.12
196311,  -0.74
