Date,frequency,factor_name,factor_value
2010/04/30,MONTHLY,Curve,3.65
2010/05/31,MONTHLY,Curve,3.22
2010/06/30,MONTHLY,Curve,3.02
2010/07/31,MONTHLY,Curve,2.83
2010/08/31,MONTHLY,Curve,2.51
2010/09/30,MONTHLY,Curve,2.46
2010/10/31,MONTHLY,Curve,2.35
2010/11/30,MONTHLY,Curve,2.57
2010/12/31,MONTHLY,Curve,3.11
2011/01/31,MONTHLY,Curve,3.22
2011/02/28,MONTHLY,Curve,3.42
2011/03/31,MONTHLY,Curve,3.27
2011/04/30,MONTHLY,Curve,3.36
2011/05/31,MONTHLY,Curve,3.08
2011/06/30,MONTHLY,Curve,2.91
2011/07/31,MONTHLY,Curve,2.93
2011/08/31,MONTHLY,Curve,2.2
2011/09/30,MONTHLY,Curve,1.9
2011/10/31,MONTHLY,Curve,2.08
2011/11/30,MONTHLY,Curve,1.93
2011/12/31,MONTHLY,Curve,1.91
2012/01/31,MONTHLY,Curve,1.89
2012/02/29,MONTHLY,Curve,1.87
2012/03/31,MONTHLY,Curve,2.04
2012/04/30,MONTHLY,Curve,1.91
2012/05/31,MONTHLY,Curve,1.64
2012/06/30,MONTHLY,Curve,1.46
2012/07/31,MONTHLY,Curve,1.37
2012/08/31,MONTHLY,Curve,1.55
2012/09/30,MONTHLY,Curve,1.58
2012/10/31,MONTHLY,Curve,1.59
2012/11/30,MONTHLY,Curve,1.49
2012/12/31,MONTHLY,Curve,1.56
2013/01/31,MONTHLY,Curve,1.77
2013/02/28,MONTHLY,Curve,1.83
2013/03/31,MONTHLY,Curve,1.82
2013/04/30,MONTHLY,Curve,1.61
2013/05/31,MONTHLY,Curve,1.82
2013/06/30,MONTHLY,Curve,2.21
2013/07/31,MONTHLY,Curve,2.49
2013/08/31,MONTHLY,Curve,2.66
2013/09/30,MONTHLY,Curve,2.73
2013/10/31,MONTHLY,Curve,2.53
2013/11/30,MONTHLY,Curve,2.64
2013/12/31,MONTHLY,Curve,2.81
2014/01/31,MONTHLY,Curve,2.79
2014/02/28,MONTHLY,Curve,2.64
2014/03/31,MONTHLY,Curve,2.64
2014/04/30,MONTHLY,Curve,2.62
2014/05/31,MONTHLY,Curve,2.47
2014/06/30,MONTHLY,Curve,2.5
2014/07/31,MONTHLY,Curve,2.45
2014/08/31,MONTHLY,Curve,2.33
2014/09/30,MONTHLY,Curve,2.44
2014/10/31,MONTHLY,Curve,2.21
2014/11/30,MONTHLY,Curve,2.24
2014/12/31,MONTHLY,Curve,2.09
2015/01/31,MONTHLY,Curve,1.77
2015/02/28,MONTHLY,Curve,1.87
2015/03/31,MONTHLY,Curve,1.93
2015/04/30,MONTHLY,Curve,1.82
2015/05/31,MONTHLY,Curve,2.08
2015/06/30,MONTHLY,Curve,2.23
2015/07/31,MONTHLY,Curve,2.19
2015/08/31,MONTHLY,Curve,2.03
2015/09/30,MONTHLY,Curve,2.03
2015/10/31,MONTHLY,Curve,1.95
2015/11/30,MONTHLY,Curve,2.14
2015/12/31,MONTHLY,Curve,2
2016/01/31,MONTHLY,Curve,1.75
2016/02/29,MONTHLY,Curve,1.4
2016/03/31,MONTHLY,Curve,1.53
2016/04/30,MONTHLY,Curve,1.44
2016/05/31,MONTHLY,Curve,1.44
2016/06/30,MONTHLY,Curve,1.26
2016/07/31,MONTHLY,Curve,1.11
2016/08/31,MONTHLY,Curve,1.16
2016/09/30,MONTHLY,Curve,1.23
2016/10/31,MONTHLY,Curve,1.36
2016/11/30,MONTHLY,Curve,1.73
2016/12/31,MONTHLY,Curve,1.95
2017/01/31,MONTHLY,Curve,1.78
2017/02/28,MONTHLY,Curve,1.76
2017/03/31,MONTHLY,Curve,1.69
2017/04/30,MONTHLY,Curve,1.4
2017/05/31,MONTHLY,Curve,1.39
2017/06/30,MONTHLY,Curve,1.15
2017/07/31,MONTHLY,Curve,1.17
2017/08/31,MONTHLY,Curve,1.05
2017/09/30,MONTHLY,Curve,1.05
2017/10/31,MONTHLY,Curve,1.21
2017/11/30,MONTHLY,Curve,1.19
2017/12/31,MONTHLY,Curve,1.1
2018/01/31,MONTHLY,Curve,1.17
2018/02/28,MONTHLY,Curve,1.44
2018/03/31,MONTHLY,Curve,1.33
2018/04/30,MONTHLY,Curve,1.18
2018/05/31,MONTHLY,Curve,1.28
2018/06/30,MONTHLY,Curve,1.09
2018/07/31,MONTHLY,Curve,0.98
2018/08/31,MONTHLY,Curve,0.98
2018/09/30,MONTHLY,Curve,1.05
2018/10/31,MONTHLY,Curve,0.96
2018/11/30,MONTHLY,Curve,0.92
2018/12/31,MONTHLY,Curve,0.56
2019/01/31,MONTHLY,Curve,0.31
2019/02/28,MONTHLY,Curve,0.27
2019/03/31,MONTHLY,Curve,0.16
2019/04/30,MONTHLY,Curve,0.11
2019/05/31,MONTHLY,Curve,0.01
2019/06/30,MONTHLY,Curve,-0.31
2019/07/31,MONTHLY,Curve,-0.34
2019/08/31,MONTHLY,Curve,-0.5
2019/09/30,MONTHLY,Curve,-0.34
2019/10/31,MONTHLY,Curve,-0.12
2019/11/30,MONTHLY,Curve,0.26
2019/12/31,MONTHLY,Curve,0.31
2020/01/31,MONTHLY,Curve,0.21
2020/02/29,MONTHLY,Curve,-0.08
2020/03/31,MONTHLY,Curve,0.22
2020/04/30,MONTHLY,Curve,0.61
2020/05/31,MONTHLY,Curve,0.62
2020/06/30,MONTHLY,Curve,0.65
2020/07/31,MONTHLY,Curve,0.53
2020/08/31,MONTHLY,Curve,0.55
2020/09/30,MONTHLY,Curve,0.59
2020/10/31,MONTHLY,Curve,0.7
2020/11/30,MONTHLY,Curve,0.78
2020/12/31,MONTHLY,Curve,0.84
2021/01/31,MONTHLY,Curve,0.99
2021/02/28,MONTHLY,Curve,1.18
2021/03/31,MONTHLY,Curve,1.54
2021/04/30,MONTHLY,Curve,1.57
2021/05/31,MONTHLY,Curve,1.56
2021/06/30,MONTHLY,Curve,1.44
2021/07/31,MONTHLY,Curve,1.22
2021/08/31,MONTHLY,Curve,1.19
2021/09/30,MONTHLY,Curve,1.29
2010/01/31,MONTHLY,HiYieldSpread,6.54
2010/02/28,MONTHLY,HiYieldSpread,6.71
2010/03/31,MONTHLY,HiYieldSpread,5.84
2010/04/30,MONTHLY,HiYieldSpread,5.61
2010/05/31,MONTHLY,HiYieldSpread,6.98
2010/06/30,MONTHLY,HiYieldSpread,7.13
2010/07/31,MONTHLY,HiYieldSpread,6.59
2010/08/31,MONTHLY,HiYieldSpread,6.92
2010/09/30,MONTHLY,HiYieldSpread,6.26
2010/10/31,MONTHLY,HiYieldSpread,5.93
2010/11/30,MONTHLY,HiYieldSpread,6.22
2010/12/31,MONTHLY,HiYieldSpread,5.41
2011/01/31,MONTHLY,HiYieldSpread,5.08
2011/02/28,MONTHLY,HiYieldSpread,4.78
2011/03/31,MONTHLY,HiYieldSpread,4.77
2011/04/30,MONTHLY,HiYieldSpread,4.76
2011/05/31,MONTHLY,HiYieldSpread,5.09
2011/06/30,MONTHLY,HiYieldSpread,5.42
2011/07/31,MONTHLY,HiYieldSpread,5.58
2011/08/31,MONTHLY,HiYieldSpread,7.3
