This file was created using the 202111 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
199909   ,-0.60    ,2.13   ,-2.00    ,0.39
199910    ,4.39   ,-4.62   ,-4.03    ,0.39
199911    ,3.63    ,2.34   ,-9.49    ,0.36
199912    ,7.23   ,-0.65   ,-6.45    ,0.44
200001   ,-5.39    ,5.68   ,-1.92    ,0.41
200002    ,2.28   ,10.86  ,-10.15    ,0.43
200003    ,4.66  ,-10.08    ,6.75    ,0.47
200004   ,-5.77   ,-5.29    ,5.14    ,0.46
200005   ,-3.28   ,-1.13    ,5.56    ,0.50
200006    ,3.28    ,4.98   ,-1.40    ,0.40
200007   ,-3.38   ,-2.43    ,5.94    ,0.48
200008    ,4.22   ,-0.05   ,-1.37    ,0.50
200009   ,-5.24   ,-0.96    ,6.49    ,0.51
200010   ,-3.52   ,-5.72    ,6.79    ,0.56
200011   ,-7.47   ,-1.93   ,12.24    ,0.51
200012    ,1.37    ,0.51    ,7.63    ,0.50
200101    ,1.87    ,2.73   ,-3.88    ,0.54
200102   ,-8.77    ,2.10   ,11.92    ,0.38
200103   ,-7.77   ,-0.81    ,7.12    ,0.42
200104    ,7.67   ,-0.68   ,-3.15    ,0.39
200105   ,-1.09    ,2.16    ,2.78    ,0.32
200106   ,-2.77    ,1.67    ,3.61    ,0.28
200107   ,-2.60   ,-3.28    ,3.02    ,0.30
200108   ,-4.44    ,2.08    ,4.04    ,0.31
200109  ,-10.01   ,-4.98    ,1.92    ,0.28
200110    ,2.58    ,4.08   ,-5.13    ,0.22
200111    ,5.53   ,-0.67   ,-1.75    ,0.17
200112    ,0.66    ,0.21    ,1.34    ,0.15
200201   ,-3.07    ,1.01    ,2.02    ,0.14
200202   ,-0.72   ,-0.46    ,3.48    ,0.13
200203    ,4.66    ,1.42    ,0.51    ,0.13
200204   ,-2.48    ,3.73    ,5.40    ,0.15
200205    ,0.35    ,0.07    ,3.32    ,0.14
200206   ,-5.45    ,2.01    ,2.18    ,0.13
200207   ,-8.73   ,-1.46    ,0.16    ,0.15
200208    ,0.19   ,-1.48    ,1.66    ,0.14
200209  ,-10.34    ,2.74    ,1.04    ,0.14
200210    ,5.94   ,-5.03   ,-3.64    ,0.14
200211    ,5.14    ,0.10   ,-0.69    ,0.12
200212   ,-4.23    ,1.76    ,3.55    ,0.11
200301   ,-2.73    ,1.87    ,0.84    ,0.10
200302   ,-1.84    ,0.49    ,1.66    ,0.09
200303   ,-0.35    ,0.48   ,-1.06    ,0.10
200304    ,8.70   ,-0.05   ,-0.75    ,0.10
200305    ,6.58    ,3.21    ,0.48    ,0.09
200306    ,2.06    ,1.95    ,0.77    ,0.10
200307    ,2.20    ,2.25    ,1.43    ,0.07
200308    ,2.73    ,2.71    ,1.28    ,0.07
200309    ,1.32    ,2.78    ,0.10    ,0.08
200310    ,5.87    ,0.80    ,2.48    ,0.07
200311    ,1.68   ,-0.10    ,0.19    ,0.07
200312    ,5.64   ,-1.67    ,0.95    ,0.08
200401    ,2.29    ,2.57    ,1.85    ,0.07
200402    ,1.92   ,-0.04    ,0.69    ,0.06
200403   ,-0.03    ,3.76    ,0.45    ,0.09
200404   ,-2.34   ,-0.58   ,-1.67    ,0.08
200405    ,0.67   ,-1.56    ,0.23    ,0.06
200406    ,2.38    ,2.22    ,1.02    ,0.08
200407   ,-3.79   ,-1.56    ,2.33    ,0.10
200408    ,0.36   ,-0.73    ,1.25    ,0.11
200409    ,2.15    ,1.27    ,0.48    ,0.11
200410    ,2.56    ,0.51    ,0.13    ,0.11
200411    ,5.38    ,2.14    ,1.26    ,0.15
200412    ,3.80   ,-0.01    ,0.54    ,0.16
200501   ,-1.93    ,1.99    ,1.48    ,0.16
200502    ,2.99    ,0.35    ,1.41    ,0.16
200503   ,-2.02   ,-0.53    ,1.55    ,0.21
200504   ,-2.60   ,-0.99    ,0.05    ,0.21
200505    ,1.43   ,-0.88   ,-0.08    ,0.24
200506    ,1.23    ,1.86    ,1.63    ,0.23
200507    ,3.54    ,0.98   ,-0.15    ,0.24
200508    ,1.04    ,0.57    ,0.80    ,0.30
200509    ,2.08   ,-0.25    ,0.96    ,0.29
200510   ,-2.68   ,-0.16    ,0.23    ,0.27
200511    ,2.90    ,0.19   ,-0.74    ,0.31
200512    ,2.58    ,2.23   ,-0.53    ,0.32
200601    ,4.52    ,2.73    ,1.41    ,0.35
200602   ,-0.46   ,-0.75    ,1.35    ,0.34
200603    ,2.43    ,2.01    ,0.43    ,0.37
200604    ,2.87    ,0.34    ,1.32    ,0.36
200605   ,-4.12   ,-2.30    ,1.17    ,0.43
200606   ,-0.59   ,-1.66    ,0.10    ,0.40
200607   ,-0.25   ,-2.94    ,2.50    ,0.40
200608    ,2.23    ,0.21   ,-0.74    ,0.42
200609    ,0.60   ,-1.47    ,0.50    ,0.41
200610    ,3.33    ,0.51   ,-0.37    ,0.41
200611    ,2.29    ,0.34    ,0.40    ,0.42
200612    ,1.85   ,-0.17    ,1.36    ,0.40
200701    ,0.93    ,0.84    ,0.13    ,0.44
200702   ,-0.55    ,1.44    ,0.78    ,0.38
200703    ,1.76    ,0.23    ,0.48    ,0.43
200704    ,3.71   ,-0.91    ,0.31    ,0.44
200705    ,2.49   ,-0.86    ,0.63    ,0.41
200706   ,-0.79    ,1.01    ,0.06    ,0.40
200707   ,-2.37    ,0.22   ,-0.90    ,0.40
200708   ,-1.14   ,-3.50   ,-0.48    ,0.42
200709    ,4.42   ,-2.12   ,-1.63    ,0.32
200710    ,3.18    ,0.89   ,-3.01    ,0.32
200711   ,-4.65   ,-3.53   ,-0.65    ,0.34
200712   ,-1.53   ,-0.82    ,0.76    ,0.27
200801   ,-7.85   ,-0.95    ,2.68    ,0.21
200802   ,-0.04    ,2.11   ,-0.82    ,0.13
200803   ,-1.25   ,-0.80    ,1.47    ,0.17
200804    ,4.92   ,-2.77   ,-0.42    ,0.18
200805    ,1.83    ,1.66   ,-1.59    ,0.18
200806   ,-8.06    ,1.16   ,-1.10    ,0.17
200807   ,-2.79   ,-0.44    ,2.09    ,0.15
200808   ,-2.10   ,-0.50    ,0.15    ,0.13
200809  ,-12.28   ,-1.25    ,2.44    ,0.15
200810  ,-19.51   ,-2.82    ,0.03    ,0.08
200811   ,-6.53   ,-0.49   ,-1.61    ,0.03
200812    ,4.44    ,2.17    ,0.46    ,0.00
200901   ,-8.55    ,2.24   ,-4.62    ,0.00
200902   ,-9.93    ,1.06   ,-4.14    ,0.01
200903    ,7.27   ,-1.31    ,0.00    ,0.02
200904   ,11.41    ,1.60    ,2.75    ,0.01
200905    ,9.95    ,1.65    ,0.03    ,0.00
200906   ,-0.26    ,2.83   ,-1.58    ,0.01
200907    ,8.60   ,-1.40    ,3.93    ,0.01
200908    ,3.88    ,0.90    ,4.59    ,0.01
200909    ,4.46    ,1.61    ,0.55    ,0.01
200910   ,-2.10   ,-0.44   ,-2.19    ,0.00
200911    ,3.64   ,-2.42   ,-1.35    ,0.00
200912    ,1.93    ,0.68    ,0.79    ,0.01
201001   ,-3.73    ,2.56   ,-0.06    ,0.00
201002    ,1.29    ,0.06    ,0.14    ,0.00
201003    ,6.24   ,-0.23    ,3.07    ,0.01
201004    ,0.48    ,3.82    ,0.82    ,0.01
201005   ,-9.54    ,0.12   ,-2.49    ,0.01
201006   ,-3.15    ,0.33   ,-2.69    ,0.01
201007    ,8.21   ,-1.57    ,1.29    ,0.01
201008   ,-3.90   ,-0.24   ,-1.92    ,0.01
201009    ,9.85    ,1.51   ,-1.60    ,0.01
201010    ,3.94   ,-0.07   ,-1.23    ,0.01
201011   ,-2.17    ,2.05   ,-0.74    ,0.01
201012    ,7.60    ,2.05    ,1.79    ,0.01
201101    ,2.13   ,-1.65    ,2.81    ,0.01
201102    ,3.49    ,0.15    ,0.47    ,0.01
201103   ,-0.68    ,1.32   ,-1.58    ,0.01
201104    ,4.47   ,-0.73   ,-1.83    ,0.00
201105   ,-2.10   ,-0.51   ,-1.33    ,0.00
201106   ,-1.52   ,-0.42    ,0.49    ,0.00
201107   ,-1.70    ,1.22   ,-2.18    ,0.00
201108   ,-7.52   ,-0.59   ,-1.80    ,0.01
201109   ,-9.20   ,-1.29    ,0.74    ,0.00
201110   ,10.01   ,-2.13   ,-1.92    ,0.00
201111   ,-2.64   ,-1.06   ,-0.75    ,0.00
201112   ,-0.44   ,-0.49    ,1.81    ,0.00
201201    ,5.61    ,2.15   ,-0.77    ,0.00
201202    ,4.93   ,-0.81   ,-0.31    ,0.00
201203    ,1.24   ,-0.38    ,0.04    ,0.00
201204   ,-1.11    ,0.23   ,-1.68    ,0.00
201205   ,-8.88   ,-0.52    ,0.08    ,0.01
201206    ,4.85   ,-1.48    ,1.43    ,0.00
201207    ,0.85   ,-1.61   ,-1.04    ,0.00
201208    ,2.78   ,-0.25    ,0.61    ,0.01
201209    ,3.07    ,1.07    ,1.21    ,0.01
201210   ,-0.43   ,-0.76    ,2.34    ,0.01
201211    ,1.32   ,-1.19    ,0.12    ,0.01
201212    ,2.30    ,1.24    ,3.51    ,0.01
201301    ,5.46    ,0.17    ,1.97    ,0.00
201302    ,0.09    ,0.32   ,-0.73    ,0.00
201303    ,2.30    ,0.85   ,-1.86    ,0.00
201304    ,3.02   ,-1.15    ,0.90    ,0.00
201305    ,0.56   ,-0.65    ,0.90    ,0.00
201306   ,-2.52    ,0.22   ,-0.02    ,0.00
201307    ,5.58    ,0.11    ,0.44    ,0.00
201308   ,-1.83    ,1.20   ,-0.77    ,0.00
201309    ,5.52    ,2.19   ,-0.59    ,0.00
201310    ,3.71   ,-1.72    ,1.95    ,0.00
201311    ,1.82   ,-0.22   ,-0.10    ,0.00
201312    ,2.18   ,-0.24   ,-0.31    ,0.00
201401   ,-3.29    ,2.86   ,-0.16    ,0.00
201402    ,5.06   ,-1.01    ,0.06    ,0.00
201403    ,0.15   ,-0.45    ,2.86    ,0.00
201404    ,0.55   ,-2.73    ,1.18    ,0.00
201405    ,1.75   ,-1.08   ,-0.49    ,0.00
201406    ,2.01    ,2.20   ,-0.25    ,0.00
201407   ,-2.05   ,-1.09    ,0.32    ,0.00
201408    ,1.93   ,-0.55   ,-0.76    ,0.00
201409   ,-3.09   ,-2.73   ,-0.83    ,0.00
201410    ,0.33   ,-0.38   ,-2.81    ,0.00
201411    ,1.65   ,-2.25   ,-2.00    ,0.00
201412   ,-1.44    ,1.65    ,0.04    ,0.00
201501   ,-1.74    ,0.02   ,-2.49    ,0.00
201502    ,5.91   ,-0.34   ,-0.30    ,0.00
201503   ,-1.17    ,1.41   ,-0.80    ,0.00
201504    ,2.71    ,0.86    ,2.27    ,0.00
201505    ,0.50    ,1.22   ,-1.12    ,0.00
201506   ,-2.09    ,2.10   ,-0.66    ,0.00
201507    ,1.13   ,-3.08   ,-3.25    ,0.00
201508   ,-6.18    ,1.15    ,1.27    ,0.00
201509   ,-3.91   ,-0.18   ,-1.02    ,0.00
201510    ,7.32   ,-2.40    ,0.34    ,0.00
201511   ,-0.30    ,1.72   ,-1.99    ,0.00
201512   ,-1.73    ,1.01   ,-1.70    ,0.01
201601   ,-6.32   ,-2.11    ,0.76    ,0.01
201602   ,-0.50    ,0.83   ,-0.21    ,0.02
201603    ,6.92    ,1.32    ,0.42    ,0.02
201604    ,1.91    ,1.12    ,2.98    ,0.01
201605    ,0.45    ,0.02   ,-2.11    ,0.01
201606   ,-1.67   ,-0.49   ,-0.73    ,0.02
201607    ,4.48    ,1.28    ,0.46    ,0.02
201608    ,0.29    ,0.30    ,2.19    ,0.02
201609    ,0.90    ,2.32   ,-1.23    ,0.02
201610   ,-1.88   ,-1.47    ,4.09    ,0.02
201611    ,1.39    ,0.25    ,4.39    ,0.01
201612    ,2.25   ,-0.48    ,2.76    ,0.03
201701    ,2.72    ,0.40   ,-0.53    ,0.04
201702    ,2.28   ,-0.60   ,-1.74    ,0.04
201703    ,1.48    ,0.30   ,-1.81    ,0.03
201704    ,1.86    ,0.36   ,-1.39    ,0.05
201705    ,2.20   ,-0.43   ,-2.59    ,0.06
201706    ,0.60    ,1.67    ,1.74    ,0.06
201707    ,2.51   ,-0.05    ,1.02    ,0.07
201708    ,0.13   ,-0.14   ,-1.34    ,0.09
201709    ,2.30    ,1.27    ,1.64    ,0.09
