"Date","Green_Returns","Brown_Returns"
2007-01-31,0.0344529630716981,0.0271500647621951
2007-02-28,-0.0124666449698113,0.0053920446097561
2007-03-31,0.000900345969924812,0.0155376519817073
2007-04-30,0.0376506402921348,0.034841074195122
2007-05-31,0.0356849443108614,0.0325266474060606
2007-06-30,-0.0197456825947955,-0.0143908480545455
2007-07-31,-0.0379879021301115,-0.0260714649515152
2007-08-31,0.0218887732713755,0.0140201734121212
2007-09-30,0.0313614760074349,0.033567139169697
2007-10-31,0.0234306865613383,0.0321682462289157
2007-11-30,-0.0458839504777778,-0.0362295024578313
2007-12-31,-0.00989453322592593,-0.00658252389156627
2008-01-31,-0.0495818483481481,-0.0321700611024096
2008-02-29,-0.0358517888296296,-0.0108376355963855
2008-03-31,0.0042151457195572,-0.0217104363053892
2008-04-30,0.0577898519705882,0.0638086848383234
2008-05-31,0.0262154671323529,0.029024802005988
2008-06-30,-0.106541746783088,-0.0830986578622755
2008-07-31,0.0243656318455882,0.00616433034730539
2008-08-31,0.0357120153933824,0.0237371310718563
2008-09-30,-0.0750175176263736,-0.103033911922156
2008-10-31,-0.206257467208791,-0.173679519712575
2008-11-30,-0.100253670681319,-0.0841102999041916
2008-12-31,0.0510440974285714,0.0371756659580838
2009-01-31,-0.0900597153296703,-0.0791760701556886
2009-02-28,-0.100198656813187,-0.120652594646707
2009-03-31,0.111458361915751,0.0853769074850299
2009-04-30,0.185816559937729,0.17788714011976
2009-05-31,0.0403681813003663,0.0481188599640719
2009-06-30,0.00930513649450549,-0.00516662632335329
2009-07-31,0.0910524911098901,0.0941375335389222
2009-08-31,0.0650537165109489,0.047008936988024
2009-09-30,0.0439844925182482,0.0578251611856287
2009-10-31,-0.03264164036,-0.0385826177125749
2009-11-30,0.0530208461630435,0.0620056464821429
2009-12-31,0.0426824929384058,0.0530651999880952
2010-01-31,-0.0263039892779783,-0.0297530475833333
2010-02-28,0.0405893283597122,0.0397488264642857
2010-03-31,0.0730020604856115,0.0661398958273809
