Ticker
AAPL
MSFT
GOOGL
GOOG
FB
NVDA
AMZN
JPM
V
BAC
MA
TSLA
DIS
ADBE
ABBV
UNH
CSCO
CRM
MRK
PYPL
PFE
MDT
ORCL
ABT
C
LLY
MS
TMO
GS
PG
INTU
AMGN
DHR
NFLX
TXN
AMD
BMY
BLK
ABC
SPGI
NKE
ACN
AXP
QCOM
AMAT
ADI
NOW
EW
DE
ADSK
REGN
ISRG
SCHW
MCO
BDX
PLD
BIIB
HD
USB
EBAY
BSX
KHC
PNC
ZTS
KO
CVS
INTC
IBM
A
COST
PEP
ILMN
BK
ADP
SYK
CB
MCD
COF
CL
MCK
EL
MMC
MRNA
TT
FISV
TFC
IFF
CHTR
MSCI
TGT
TROW
SNPS
ATVI
CCI
CME
HPQ
VZ
ICE
CAT
FIS
BKNG
ETN
LOW
AON
CDNS
PSA
ETSY
GILD
STT
MSI
SPG
PCAR
ECL
ANTM
IDXX
RMD
WBA
ITW
TWTR
DOW
ROP
KLAC
CAG
HSY
FITB
IQV
ALGN
CARR
TEL
KEYS
FTNT
INFO
GPN
EA
XLNX
DXCM
TRMB
NTRS
ROK
VRSK
PAYX
FTV
WELL
MU
ZBH
SBUX
VRTX
AVGO
CTVA
CBRE
OTIS
MTD
WAT
KEY
ANET
SHW
CAH
SIVB
TJX
SBAC
STZ
USD
CHRW
EXPD
UPS
AFL
NDAQ
MKC
FRC
DHI
MNST
PRU
CPRT
HBAN
ANSS
XRAY
TMUS
F
PVH
AMP
LRCX
TSN
AKAM
TDG
BR
HOLX
APTV
AIG
ARE
PAYC
O
SWK
TRV
DFS
XYL
TAP
WST
APH
CLX
PKI
GRMN
MCHP
KMX
HAS
EFX
WY
CERN
HIG
NWSA
BXP
IR
MAA
ENPH
TPR
AVB
GNRC
IT
TTWO
WLTW
NLOK
TER
TECH
TYL
EQR
CHD
VFC
CSX
EXR
NTAP
CMA
FLT
DRE
HUM
CFG
MKTX
CRL
AJG
ABMD
RSG
STE
VMC
BLL
HSIC
CE
MDLZ
ES
MAS
MPWR
VRSN
ORLY
CMG
PTC
PH
FAST
CZR
HST
GWW
PPG
NLSN
COO
BBY
WHR
RL
LDOS
CTXS
RJF
MTB
PHM
AME
ZBRA
IPG
TFX
EXC
CINF
BFB
REG
UDR
BBWI
IEX
ALL
FMC
MET
FRT
INCY
LEN
FOXA
PBCT
JNPR
WAB
MGM
ALLE
IVZ
OGN
CBOE
JKHY
WU
KIM
NWS
POOL
DISH
AAP
BEN
OMC
PFG
CTAS
FFIV
ZION
ROST
BIO
AWK
ROL
LNC
ESS
VNO
PEAK
CTLT
DISCK
