LIN
SHW
ECL
FCX
RIO.L
SIKA.SW
PPG
4063.T
VALE
BAS.DE
ALB
IFF
DSM
GIVN.SW
NEM
FNV
DD
ANTO.L
VMC
CRDA.L
CTVA
BLL
2020.SR
FMG
BOL
SCCO
SQM
MLM
NPH
WPM
FMC
ASIANPAINT.NS
AVY
2002.SR
AKZA.AS
CCL-B.TO
FM
LUN
JHX
BRAP4.SA
IVN
NZYM-B.CO
UMI
ABX.TO
051910.KS
AMCR
CE
MPHC.QA
2899.HK
2290.SR
MDKA.JK
AEM
APD
SEE
JMAT.L
4612.T
MOS
GMEXICOB.MX
ALRS
KL
CHR
SY1.DE
PLZL.ME
IMP
SCA-B.ST
3993.HK
NST
NCM
GFI
POLY
DOW
600111.SS
YRI
CCK
PAAS
KIO
051915.KS
000975.SZ
FPE3.DE
EMSN.SW
603799.SS
000807.SZ
4613.T
SUZB3.SA
EVN
