This file was created by CMPT_ME_BEME_RETS using the 202111 CRSP database.
The 1-month TBill return is from Ibbotson and Associates, Inc.

,Mkt-RF,SMB,HML,RF
192607,    2.96,   -2.38,   -2.73,    0.22
192608,    2.64,   -1.47,    4.14,    0.25
192609,    0.36,   -1.39,    0.12,    0.23
192610,   -3.24,   -0.13,    0.65,    0.32
192611,    2.53,   -0.16,   -0.38,    0.31
192612,    2.62,   -0.02,    0.00,    0.28
192701,   -0.06,   -0.51,    4.73,    0.25
192702,    4.18,   -0.25,    3.27,    0.26
192703,    0.13,   -1.89,   -2.56,    0.30
192704,    0.46,    0.49,    0.71,    0.25
192705,    5.44,    1.46,    4.98,    0.30
192706,   -2.34,    0.51,   -1.53,    0.26
192707,    7.26,   -3.25,   -1.14,    0.30
192708,    1.97,   -0.69,   -3.74,    0.28
192709,    4.76,   -3.63,   -0.63,    0.21
192710,   -4.31,    2.12,   -4.33,    0.25
192711,    6.58,    2.72,   -0.27,    0.21
192712,    2.09,    0.97,   -1.13,    0.22
192801,   -0.68,    4.26,   -0.75,    0.25
192802,   -1.70,   -2.06,   -0.65,    0.33
192803,    8.81,   -0.26,   -1.22,    0.29
192804,    4.23,    3.98,    3.44,    0.22
192805,    1.52,    2.85,   -3.27,    0.32
192806,   -4.85,   -3.52,   -0.03,    0.31
192807,    0.62,   -1.32,   -0.50,    0.32
192808,    6.68,   -2.06,   -2.15,    0.32
192809,    2.88,    2.41,    0.86,    0.27
192810,    1.33,    2.22,   -2.16,    0.41
192811,   11.81,   -1.78,    2.70,    0.38
192812,    0.36,   -0.86,   -0.65,    0.06
192901,    4.66,   -3.56,   -1.24,    0.34
192902,   -0.34,   -0.38,    1.66,    0.36
192903,   -0.89,   -4.71,    1.58,    0.34
192904,    1.43,   -0.97,    0.59,    0.36
192905,   -6.39,   -5.37,   -1.42,    0.44
192906,    9.70,   -2.17,   -2.79,    0.52
192907,    4.46,   -3.85,    2.66,    0.33
192908,    8.18,   -9.51,    0.00,    0.40
192909,   -5.47,    1.18,   -0.62,    0.35
192910,  -20.12,   -4.01,    7.77,    0.46
192911,  -12.74,   -1.81,    5.22,    0.37
192912,    1.33,   -4.48,   -0.59,    0.37
193001,    5.61,    3.53,   -0.92,    0.14
193002,    2.50,    0.19,    0.20,    0.30
193003,    7.10,    3.41,    0.33,    0.35
193004,   -2.06,   -0.35,   -0.35,    0.21
193005,   -1.66,   -2.02,   -0.71,    0.26
193006,  -16.27,   -3.36,    2.28,    0.27
193007,    4.12,   -0.35,   -1.54,    0.20
193008,    0.30,   -2.23,   -0.79,    0.09
193009,  -12.75,   -2.22,   -5.27,    0.22
193010,   -8.78,   -0.12,   -1.38,    0.09
193011,   -3.04,    2.22,   -3.52,    0.13
193012,   -7.83,   -4.66,   -5.38,    0.14
193101,    6.24,    3.75,    7.13,    0.15
193102,   10.88,    3.38,    1.60,    0.04
193103,   -6.43,    3.06,   -3.67,    0.13
193104,   -9.98,   -4.63,   -3.95,    0.08
193105,  -13.24,    5.16,   -6.59,    0.09
193106,   13.90,   -5.36,   11.34,    0.08
193107,   -6.62,    1.49,   -2.21,    0.06
193108,    0.41,   -1.92,   -1.54,    0.03
193109,  -29.13,    0.48,   -6.67,    0.03
193110,    8.04,   -1.73,    1.46,    0.10
193111,   -9.08,    4.32,   -5.06,    0.17
193112,  -13.53,   -0.42,   -9.05,    0.12
193201,   -1.58,    3.85,    9.16,    0.23
193202,    5.46,   -2.87,   -1.31,    0.23
193203,  -11.21,    2.34,   -2.44,    0.16
193204,  -17.96,    1.51,    1.32,    0.11
193205,  -20.51,    4.12,   -3.32,    0.06
193206,   -0.70,    0.19,    5.52,    0.02
193207,   33.84,   -4.59,   35.61,    0.03
193208,   37.06,   13.41,   34.24,    0.03
193209,   -2.94,   -2.08,   -7.36,    0.03
193210,  -13.17,   -2.56,  -10.33,    0.02
193211,   -5.88,    2.00,  -13.11,    0.02
193212,    4.40,   -8.64,   -7.72,    0.01
193301,    1.25,    0.63,    6.36,    0.01
193302,  -15.24,   -2.58,   -2.95,   -0.03
193303,    3.29,    3.79,    7.54,    0.04
193304,   38.85,    3.07,   19.65,    0.10
193305,   21.43,   36.56,   19.19,    0.04
193306,   13.11,    8.42,   -1.78,    0.02
193307,   -9.63,   -1.05,    3.27,    0.02
193308,   12.05,   -5.39,    3.00,    0.03
193309,  -10.65,   -0.40,  -11.74,    0.02
193310,   -8.36,   -0.20,   -8.57,    0.01
193311,    9.97,   -6.47,    2.32,    0.02
193312,    1.83,    0.63,   -1.56,    0.02
193401,   12.60,   12.69,   15.59,    0.05
193402,   -2.50,    5.10,    2.00,    0.02
193403,    0.09,    2.51,   -2.70,    0.02
193404,   -1.79,    2.73,   -3.73,    0.01
193405,   -7.25,   -0.29,   -5.89,    0.01
193406,    2.64,   -2.23,   -2.96,    0.01
193407,  -10.96,   -6.71,  -10.98,    0.01
193408,    5.58,    5.24,    0.68,    0.01
193409,   -0.23,   -1.43,   -1.31,    0.01
193410,   -1.66,    1.53,   -5.50,    0.01
193411,    8.33,    6.31,   -1.97,    0.01
193412,    0.36,    2.99,   -3.11,    0.01
193501,   -3.45,    1.03,   -1.83,    0.01
193502,   -1.94,    0.56,   -7.51,    0.02
193503,   -3.68,   -3.59,   -5.07,    0.01
193504,    9.06,   -1.47,    4.32,    0.01
193505,    3.47,   -3.25,    2.48,    0.01
193506,    5.93,   -2.40,   -1.88,    0.01
193507,    7.51,    1.65,    6.64,    0.01
193508,    2.65,    6.11,    5.90,    0.01
193509,    2.63,    1.63,   -4.01,    0.01
193510,    7.03,    2.80,   -2.44,    0.01
193511,    4.88,    4.16,   11.73,    0.02
193512,    4.56,    0.40,    1.06,    0.01
193601,    6.89,    5.17,   10.33,    0.01
193602,    2.49,    1.42,    4.87,    0.01
193603,    0.99,    0.57,   -1.62,    0.02
193604,   -8.14,   -6.07,   -2.08,    0.02
193605,    5.19,    0.90,    2.54,    0.02
193606,    2.40,   -3.23,   -1.22,    0.03
193607,    6.67,    1.00,    2.40,    0.01
193608,    0.99,    0.60,    3.82,    0.02
193609,    0.98,    3.08,    0.90,    0.01
193610,    7.12,   -2.43,    2.47,    0.02
193611,    3.27,    8.77,   -1.21,    0.01
193612,    0.21,    3.96,    4.30,    0.00
193701,    3.35,    4.34,    2.61,    0.01
193702,    1.09,    1.05,    4.83,    0.02
193703,   -0.27,   -1.69,    6.50,    0.01
193704,   -7.36,   -3.83,   -3.66,    0.03
193705,   -0.83,   -0.68,   -3.48,    0.06
193706,   -4.21,   -3.76,   -3.33,    0.03
193707,    8.91,    0.89,    0.81,    0.03
193708,   -4.86,    0.44,   -2.25,    0.02
193709,  -13.61,   -6.98,   -4.57,    0.04
193710,   -9.61,    0.41,   -1.55,    0.02
193711,   -8.31,   -3.60,    0.15,    0.02
193712,   -4.24,   -7.74,   -0.40,    0.00
