Date,Returns,Stock
2019-10-31,0.01670148067378019,XWD.TO
2019-11-30,0.03864101176031376,XWD.TO
2019-12-31,-0.003594536369420198,XWD.TO
2020-01-31,0.007395364491258327,XWD.TO
2020-02-29,-0.06445833713369153,XWD.TO
2020-03-31,-0.09244022966507182,XWD.TO
2020-04-30,0.09257703891088309,XWD.TO
2020-05-31,0.03879557925505539,XWD.TO
2020-06-30,1.8584169453728094e-4,XWD.TO
2020-07-31,0.030837821629655426,XWD.TO
2020-08-31,0.034600791688564,XWD.TO
2020-09-30,-0.012889775300470196,XWD.TO
2020-10-31,-0.034409688879819544,XWD.TO
2020-11-30,0.09685670510130295,XWD.TO
2020-12-31,0.017327574141952518,XWD.TO
2021-01-31,-0.004258139465146749,XWD.TO
2021-02-28,0.020888174685660843,XWD.TO
2021-03-31,0.024488480747543173,XWD.TO
2021-04-30,0.022645054253813468,XWD.TO
2021-05-31,-0.005843410823364814,XWD.TO
2021-06-30,0.036504252544338645,XWD.TO
2021-07-31,0.024026278942656853,XWD.TO
2021-08-31,0.03657816803068359,XWD.TO
2021-09-30,-0.038239745743276266,XWD.TO
2021-10-31,-0.006870369427255052,XWD.TO
2009-03-31,0,WCOD.L
2009-04-30,0.18893359698586942,WCOD.L
2009-05-31,0.021661656612810942,WCOD.L
2009-06-30,0.0019873569503889854,WCOD.L
2009-07-31,0.10299283506994539,WCOD.L
2009-08-31,0.02457991447487462,WCOD.L
2009-09-30,0.03964347997657791,WCOD.L
2009-10-31,-0.016462892488810055,WCOD.L
2009-11-30,0.03333297023755799,WCOD.L
2009-12-31,0.038627045708670815,WCOD.L
2010-01-31,-0.027859517103636766,WCOD.L
2010-02-28,0.01700279502086577,WCOD.L
2010-03-31,0.07995125227680022,WCOD.L
2010-04-30,0.03345826628371995,WCOD.L
2010-05-31,-0.08154108853289643,WCOD.L
2010-06-30,-0.052742718654950393,WCOD.L
2010-07-31,0.07983921149291962,WCOD.L
2010-08-31,-0.0327892812960463,WCOD.L
2010-09-30,0.11925061927809444,WCOD.L
2010-10-31,0.04644213507425432,WCOD.L
2010-11-30,0.010669892574479256,WCOD.L
2010-12-31,0.047618782934518045,WCOD.L
2011-01-31,0.0057890102849982306,WCOD.L
2011-02-28,0.03847818450162266,WCOD.L
2011-03-31,-0.024940953763828877,WCOD.L
2011-04-30,0.051157775417846274,WCOD.L
2011-05-31,-0.007009909128245728,WCOD.L
2011-06-30,0.0038321802330252286,WCOD.L
2011-07-31,-0.014868122391756944,WCOD.L
2011-08-31,-0.08066520652305953,WCOD.L
2011-09-30,-0.07997758898962282,WCOD.L
2011-10-31,0.10839149146005034,WCOD.L
2011-11-30,-0.031763401559598226,WCOD.L
2011-12-31,-0.005168038388453811,WCOD.L
2012-01-31,0.07216309954985967,WCOD.L
2012-02-29,0.061406798147626285,WCOD.L
2012-03-31,0.031259517448527285,WCOD.L
2012-04-30,-0.004041363515992935,WCOD.L
2012-05-31,-0.08067643631342403,WCOD.L
2012-06-30,0.02511836007401147,WCOD.L
2012-07-31,-0.0011279327422220042,WCOD.L
2012-08-31,0.03766801264528086,WCOD.L
2012-09-30,0.019090169216460673,WCOD.L
2012-10-31,-8.736266575747331e-4,WCOD.L
2012-11-30,0.03749735371380081,WCOD.L
2012-12-31,0.024438363129079654,WCOD.L
2013-01-31,0.05648478160371018,WCOD.L
2013-02-28,0.003979596685896647,WCOD.L
2013-03-31,0.03291692422763348,WCOD.L
2013-04-30,0.03912583867122743,WCOD.L
2013-05-31,0.025288700437707812,WCOD.L
2013-06-30,-0.003601880750785824,WCOD.L
2013-07-31,0.0568958752540889,WCOD.L
2013-08-31,-0.02490891998396505,WCOD.L
2013-09-30,0.06779032678806107,WCOD.L
2013-10-31,0.03463526417215035,WCOD.L
2013-11-30,0.024365168734824083,WCOD.L
2013-12-31,0.019944597607057135,WCOD.L
2014-01-31,-0.05034014690661437,WCOD.L
2014-02-28,0.05196521832564294,WCOD.L
2014-03-31,-0.021756460184858994,WCOD.L
2014-04-30,-0.010072158804517506,WCOD.L
2014-05-31,0.026017454654035932,WCOD.L
2014-06-30,0.01717134861659053,WCOD.L
2014-07-31,-0.022705171200238516,WCOD.L
