Ticker,Name,Weight,Market Value,Sector,Country
AMAT,APPLIED MATERIAL INC,0.21,USD 13232262.39,Information Technology,US
RTX,RAYTHEON TECHNOLOGIES CORP,0.21,USD 13213155.69,Industrials,US
6861.T,KEYENCE CORP,0.21,USD 13209672.90,Information Technology,JP
NOW,SERVICENOW INC,0.21,USD 13046260.75,Information Technology,US
AMGN,AMGEN INC,0.21,USD 12838913.67,Health Care,US
ISRG,INTUITIVE SURGICAL INC,0.21,USD 12796119.28,Health Care,US
IBM,INTERNATIONAL BUSINESS MACHINES CO,0.2,USD 12641608.00,Information Technology,US
TGT,TARGET CORP,0.2,USD 12548796.00,Consumer Discretionary,US
BA,BOEING,0.2,USD 12224464.30,Industrials,US
OR.PA,LOREAL SA,0.2,USD 12142146.82,Consumer Staples,FR
TD.TO,TORONTO DOMINION,0.19,USD 12000770.84,Financials,CA
TTE.PA,TOTALENERGIES,0.19,USD 11913897.82,Energy,FR
GE,GENERAL ELECTRIC,0.19,USD 11600983.12,Industrials,US
DGE.L,DIAGEO PLC,0.19,USD 11566099.83,Consumer Staples,GB
AXP,AMERICAN EXPRESS,0.19,USD 11484826.56,Financials,US
CAT,CATERPILLAR INC,0.18,USD 11409785.80,Industrials,US
CVS,CVS HEALTH CORP,0.18,USD 11247483.52,Health Care,US
SPGI,S&P GLOBAL INC,0.18,USD 11139619.55,Financials,US
MMM,3M,0.18,USD 11000195.18,Industrials,US
SAN.PA,SANOFI SA,0.18,USD 10962649.21,Health Care,FR
HSBA.L,HSBC HOLDINGS PLC,0.18,USD 10882715.79,Financials,GB
DE,DEERE,0.18,USD 10878725.26,Industrials,US
CHTR,CHARTER COMMUNICATIONS INC CLASS A,0.17,USD 10371520.80,Communication,US
PLD,PROLOGIS REIT INC,0.17,USD 10324909.98,Real Estate,US
SCHW,CHARLES SCHWAB CORP,0.17,USD 10241900.20,Financials,US
BKNG,BOOKING HOLDINGS INC,0.16,USD 10195287.27,Consumer Discretionary,US
GSK.L,GLAXOSMITHKLINE PLC,0.16,USD 10086318.36,Health Care,GB
CSL.AX,CSL LTD,0.16,USD 10068194.34,Health Care,AU
ZTS,ZOETIS INC CLASS A,0.16,USD 10049721.08,Health Care,US
SU.PA,SCHNEIDER ELECTRIC,0.16,USD 10003599.71,Industrials,FR
ALV.DE,ALLIANZ,0.16,USD 9890504.12,Financials,DE
SQ,SQUARE INC CLASS A,0.16,USD 9867656.80,Information Technology,US
SYK,STRYKER CORP,0.16,USD 9849242.40,Health Care,US
ADI,ANALOG DEVICES INC,0.15,USD 9590415.36,Information Technology,US
ANTM,ANTHEM INC,0.15,USD 9513182.52,Health Care,US
LRCX,LAM RESEARCH CORP,0.15,USD 9169442.50,Information Technology,US
BP..L,BP PLC,0.15,USD 9143012.09,Energy,GB
BX,BLACKSTONE INC,0.15,USD 9136648.00,Financials,US
GILD,GILEAD SCIENCES INC,0.15,USD 8996551.20,Health Care,US
MELI,MERCADOLIBRE INC,0.15,USD 8996656.12,Consumer Discretionary,US
ADP,AUTOMATIC DATA PROCESSING INC,0.15,USD 8993923.56,Information Technology,US
6098.T,RECRUIT HOLDINGS LTD,0.14,USD 8967621.57,Industrials,JP
BHP.AX,BHP GROUP LTD,0.14,USD 8947346.99,Materials,AU
MO,ALTRIA GROUP INC,0.14,USD 8927614.35,Consumer Staples,US
RDSA.L,ROYAL DUTCH SHELL PLC,0.14,USD 8870002.85,Energy,GB
TJX,TJX INC,0.14,USD 8835702.12,Consumer Discretionary,US
LMT,LOCKHEED MARTIN CORP,0.14,USD 8755116.04,Industrials,US
MU,MICRON TECHNOLOGY INC,0.14,USD 8693190.84,Information Technology,US
CNR.TO,CANADIAN NATIONAL RAILWAY,0.14,USD 8675892.86,Industrials,CA
PNC,PNC FINANCIAL SERVICES GROUP INC,0.14,USD 8550302.62,Financials,US
MMC,MARSH & MCLENNAN INC,0.14,USD 8488336.40,Financials,US
CCI,CROWN CASTLE INTERNATIONAL REIT CO,0.14,USD 8480760.75,Real Estate,US
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,0.14,USD 8456454.03,Consumer Staples,US
CB.SW,CHUBB LTD,0.14,USD 8408787.60,Financials,CH
RIO.L,RIO TINTO PLC,0.14,USD 8403166.54,Materials,GB
BATS.L,BRITISH AMERICAN TOBACCO PLC,0.13,USD 8268967.22,Consumer Staples,GB
ENB.TO,ENBRIDGE INC,0.13,USD 8259742.97,Energy,CA
AI.PA,LAIR LIQUIDE SOCIETE ANONYME POUR,0.13,USD 8253781.63,Materials,FR
USB,US BANCORP,0.13,USD 8207484.40,Financials,US
388.HK,HONG KONG EXCHANGES AND CLEARING L,0.13,USD 8102731.95,Financials,HK
FIS,FIDELITY NATIONAL INFORMATION SERV,0.13,USD 8087840.10,Information Technology,US
TMUS,T MOBILE US INC,0.13,USD 8086353.59,Communication,US
COP,CONOCOPHILLIPS,0.13,USD 8064909.92,Energy,US
AIR.AS,AIRBUS GROUP,0.13,USD 8030445.03,Industrials,NL
EW,EDWARDS LIFESCIENCES CORP,0.13,USD 7927778.16,Health Care,US
BDX,BECTON DICKINSON,0.13,USD 7883371.68,Health Care,US
EL,ESTEE LAUDER INC CLASS A,0.13,USD 7867192.50,Consumer Staples,US
RDSB.L,ROYAL DUTCH SHELL PLC CLASS B,0.13,USD 7852576.16,Energy,GB
PRX.AS,PROSUS NV,0.13,USD 7847462.09,Consumer Discretionary,NL
EQIX,EQUINIX REIT INC,0.13,USD 7823749.44,Real Estate,US
TFC,TRUIST FINANCIAL CORP,0.13,USD 7784423.64,Financials,US
BNS.TO,BANK OF NOVA SCOTIA,0.13,USD 7755526.84,Financials,CA
8035.T,TOKYO ELECTRON LTD,0.12,USD 7698458.30,Information Technology,JP
SHW,SHERWIN WILLIAMS,0.12,USD 7689747.03,Materials,US
DUK,DUKE ENERGY CORP,0.12,USD 7644291.66,Utilities,US
9984.T,SOFTBANK GROUP CORP,0.12,USD 7641892.13,Communication,JP
COF,CAPITAL ONE FINANCIAL CORP,0.12,USD 7619734.50,Financials,US
DAI.DE,DAIMLER AG,0.12,USD 7588782.53,Consumer Discretionary,DE
CI,CIGNA CORP,0.12,USD 7569091.20,Health Care,US
BAM.A.TO,BROOKFIELD ASSET MANAGEMENT INC CL,0.12,USD 7434889.91,Financials,CA
8306.T,MITSUBISHI UFJ FINANCIAL GROUP INC,0.12,USD 7396422.07,Financials,JP
CSX,CSX CORP,0.12,USD 7372502.15,Industrials,US
BAS.DE,BASF N,0.12,USD 7244957.45,Materials,DE
IBE.MC,IBERDROLA SA,0.12,USD 7187965.61,Utilities,ES
ITW,ILLINOIS TOOL INC,0.12,USD 7148132.40,Industrials,US
SNAP,SNAP INC CLASS A,0.11,USD 7123323.96,Communication,US
BNP.PA,BNP PARIBAS SA,0.11,USD 7104541.01,Financials,FR
DTE.DE,DEUTSCHE TELEKOM N AG,0.11,USD 7076089.21,Communication,DE
AON,AON PLC CLASS A,0.11,USD 7064284.96,Financials,IE
SO,SOUTHERN,0.11,USD 7055346.83,Utilities,US
ENEL.MI,ENEL,0.11,USD 7030668.60,Utilities,IT
DPW.DE,DEUTSCHE POST AG,0.11,USD 7008255.89,Industrials,DE
GM,GENERAL MOTORS,0.11,USD 6991968.96,Consumer Discretionary,US
CME,CME GROUP INC CLASS A,0.11,USD 6925761.92,Financials,US
HCA,HCA HEALTHCARE INC,0.11,USD 6891324.40,Health Care,US
ILMN,ILLUMINA INC,0.11,USD 6890811.96,Health Care,US
4063.T,SHIN ETSU CHEMICAL LTD,0.11,USD 6827778.03,Materials,JP
BMO.TO,BANK OF MONTREAL,0.11,USD 6824739.06,Financials,CA
ZURN.SW,ZURICH INSURANCE GROUP AG,0.11,USD 6819639.99,Financials,CH
NAB.AX,NATIONAL AUSTRALIA BANK LTD,0.11,USD 6817945.55,Financials,AU
REGN,REGENERON PHARMACEUTICALS INC,0.11,USD 6801664.00,Health Care,US
WBC.AX,WESTPAC BANKING CORPORATION CORP,0.11,USD 6789782.72,Financials,AU
WM,WASTE MANAGEMENT INC,0.11,USD 6730530.61,Industrials,US
6367.T,DAIKIN INDUSTRIES LTD,0.11,USD 6725755.98,Industrials,JP
NSC,NORFOLK SOUTHERN CORP,0.11,USD 6675198.38,Industrials,US
LONN.SW,LONZA GROUP AG,0.11,USD 6671700.38,Health Care,CH
ETN,EATON PLC,0.11,USD 6643077.35,Industrials,IE
FISV,FISERV INC,0.11,USD 6596956.80,Information Technology,US
MCO,MOODYS CORP,0.11,USD 6577929.39,Financials,US
SAN.MC,BANCO SANTANDER SA,0.11,USD 6573378.36,Financials,ES
ICE,INTERCONTINENTAL EXCHANGE INC,0.11,USD 6557095.88,Financials,US
CL,COLGATE-PALMOLIVE,0.11,USD 6551963.39,Consumer Staples,US
ADSK,AUTODESK INC,0.11,USD 6529776.84,Information Technology,US
BSX,BOSTON SCIENTIFIC CORP,0.11,USD 6527935.33,Health Care,US
ABBN.SW,ABB LTD,0.11,USD 6524547.42,Industrials,CH
ADS.DE,ADIDAS N AG,0.11,USD 6515596.05,Consumer Discretionary,DE
FDX,FEDEX CORP,0.1,USD 6475561.83,Industrials,US
7741.T,HOYA CORP,0.1,USD 6455578.94,Health Care,JP
UBSG.SW,UBS GROUP AG,0.1,USD 6430840.72,Financials,CH
SNOW,SNOWFLAKE CLASS A,0.1,USD 6402848.56,Information Technology,US
D,DOMINION ENERGY INC,0.1,USD 6391076.70,Utilities,US
EMR,EMERSON ELECTRIC,0.1,USD 6345697.05,Industrials,US
NXPI.AS,NXP SEMICONDUCTORS NV,0.1,USD 6258084.48,Information Technology,NL
IFX.DE,INFINEON TECHNOLOGIES AG,0.1,USD 6235276.55,Information Technology,DE
ATVI,ACTIVISION BLIZZARD INC,0.1,USD 6148180.75,Communication,US
ECL,ECOLAB INC,0.1,USD 6130479.87,Materials,US
APD,AIR PRODUCTS AND CHEMICALS INC,0.1,USD 6069948.50,Materials,US
ADYEN.AS,ADYEN NV,0.1,USD 6068035.34,Information Technology,NL
REL.L,RELX PLC,0.1,USD 6058537.78,Industrials,GB
9433.T,KDDI CORP,0.1,USD 6036525.92,Communication,JP
ANZ.AX,AUSTRALIA AND NEW ZEALAND BANKING,0.1,USD 6026727.71,Financials,AU
ZM,ZOOM VIDEO COMMUNICATIONS INC CLAS,0.1,USD 6006941.52,Information Technology,US
BHP.L,BHP GROUP PLC,0.1,USD 5957831.56,Materials,GB
RKT.L,RECKITT BENCKISER GROUP PLC,0.1,USD 5917108.06,Consumer Staples,GB
TWLO,TWILIO INC CLASS A,0.1,USD 5890610.46,Information Technology,US
ALGN,ALIGN TECHNOLOGY INC,0.09,USD 5784764.64,Health Care,US
6501.T,HITACHI LTD,0.09,USD 5775435.29,Industrials,JP
KLAC,KLA CORP,0.09,USD 5759156.52,Information Technology,US
CFR.SW,COMPAGNIE FINANCIERE RICHEMONT SA,0.09,USD 5688317.36,Consumer Discretionary,CH
EL.PA,ESSILORLUXOTTICA SA,0.09,USD 5663212.84,Consumer Discretionary,FR
KER.PA,KERING SA,0.09,USD 5651363.82,Consumer Discretionary,FR
INGA.AS,ING GROEP NV,0.09,USD 5648275.38,Financials,NL
IDXX,IDEXX LABORATORIES INC,0.09,USD 5639904.60,Health Care,US
CS.PA,AXA SA,0.09,USD 5638815.23,Financials,FR
A,AGILENT TECHNOLOGIES INC,0.09,USD 5626451.25,Health Care,US
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,0.09,USD 5620088.21,Industrials,IE
6594.T,NIDEC CORP,0.09,USD 5607145.80,Industrials,JP
6981.T,MURATA MANUFACTURING LTD,0.09,USD 5534457.20,Information Technology,JP
BAYN.DE,BAYER AG,0.09,USD 5529520.90,Health Care,DE
4502.T,TAKEDA PHARMACEUTICAL LTD,0.09,USD 5524769.18,Health Care,JP
PRU.L,PRUDENTIAL PLC,0.09,USD 5514324.27,Financials,GB
FCX,FREEPORT MCMORAN INC,0.09,USD 5512469.60,Materials,US
DG.PA,VINCI SA,0.09,USD 5505240.47,Industrials,FR
DXCM,DEXCOM INC,0.09,USD 5485254.81,Health Care,US
DOCU,DOCUSIGN INC,0.09,USD 5436878.20,Information Technology,US
CMG,CHIPOTLE MEXICAN GRILL INC,0.09,USD 5437191.36,Consumer Discretionary,US
PGR,PROGRESSIVE CORP,0.09,USD 5425883.19,Financials,US
HUM,HUMANA INC,0.09,USD 5403876.00,Health Care,US
PSA,PUBLIC STORAGE REIT,0.09,USD 5395245.86,Real Estate,US
EBAY,EBAY INC,0.09,USD 5373301.78,Consumer Discretionary,US
AAL.L,ANGLO AMERICAN PLC,0.09,USD 5353702.63,Materials,GB
LULU,LULULEMON ATHLETICA INC,0.09,USD 5353762.05,Consumer Discretionary,US
7974.T,NINTENDO LTD,0.09,USD 5325147.54,Communication,JP
IQV,IQVIA HOLDINGS INC,0.09,USD 5308290.05,Health Care,US
CM.TO,CANADIAN IMPERIAL BANK OF COMMERCE,0.09,USD 5290257.45,Financials,CA
MRVL,MARVELL TECHNOLOGY INC,0.08,USD 5263504.20,Information Technology,US
NOC,NORTHROP GRUMMAN CORP,0.08,USD 5243607.60,Industrials,US
TROW,T ROWE PRICE GROUP INC,0.08,USD 5243521.36,Financials,US
DSV.CO,DSV PANALPINA,0.08,USD 5239118.44,Industrials,DK
MSCI,MSCI INC,0.08,USD 5219663.68,Financials,US
F,FORD MOTOR CO,0.08,USD 5173580.90,Consumer Discretionary,US
GPN,GLOBAL PAYMENTS INC,0.08,USD 5160016.48,Information Technology,US
DG,DOLLAR GENERAL CORP,0.08,USD 5156075.08,Consumer Discretionary,US
RMS.PA,HERMES INTERNATIONAL,0.08,USD 5128033.63,Consumer Discretionary,FR
SIKA.SW,SIKA AG,0.08,USD 5122007.07,Materials,CH
ROP,ROPER TECHNOLOGIES INC,0.08,USD 5116919.60,Industrials,US
GD,GENERAL DYNAMICS CORP,0.08,USD 5116814.40,Industrials,US
6954.T,FANUC CORP,0.08,USD 5115549.66,Industrials,JP
TWTR,TWITTER INC,0.08,USD 5106438.00,Communication,US
GLEN.L,GLENCORE PLC,0.08,USD 5098138.05,Materials,GB
SNPS,SYNOPSYS INC,0.08,USD 5070253.74,Information Technology,US
TEL.SW,TE CONNECTIVITY LTD,0.08,USD 5034835.00,Information Technology,CH
VRTX,VERTEX PHARMACEUTICALS INC,0.08,USD 5026320.04,Health Care,US
AIG,AMERICAN INTERNATIONAL GROUP INC,0.08,USD 5024319.30,Financials,US
7267.T,HONDA MOTOR LTD,0.08,USD 5019080.47,Consumer Discretionary,JP
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,0.08,USD 5009181.86,Information Technology,US
UBER,UBER TECHNOLOGIES INC,0.08,USD 4981466.88,Industrials,US
MET,METLIFE INC,0.08,USD 4949710.08,Financials,US
PANW,PALO ALTO NETWORKS INC,0.08,USD 4928983.80,Information Technology,US
LHX,L3HARRIS TECHNOLOGIES INC,0.08,USD 4912247.30,Industrials,US
TRP.TO,TC ENERGY CORP,0.08,USD 4909059.89,Energy,CA
CP.TO,CANADIAN PACIFIC RAILWAY LTD,0.08,USD 4902434.68,Industrials,CA
TT,TRANE TECHNOLOGIES PLC,0.08,USD 4898240.06,Industrials,IE
