AAPL
MSFT
AMZN
FB
GOOG
TSLA
NVDA
BRK
JPM
JNJ
UNH
V
HD
PG
DIS
PYPL
ADBE
BAC
MA
CMCSA
NFLX
PFE
CRM
CSCO
XOM
ABT
VZ
TMO
ACN
KO
INTC
PEP
DHR
NKE
COST
AVGO
WMT
T
LLY
ABBV
MRK
CVX
WFC
MDT
MCD
TXN
NEE
LIN
ORCL
PM
QCOM
INTU
HON
MS
C
LOW
BMY
SBUX
UNP
MRNA
GS
UPS
AMT
BLK
AMD
NOW
RTX
ISRG
AMGN
AMAT
IBM
TGT
BA
DE
GE
CAT
CVS
SPGI
SCHW
CHTR
MMM
AXP
PLD
ZTS
BKNG
MO
ANTM
ADI
SYK
GILD
ADP
LMT
MDLZ
LRCX
TJX
CCI
MU
PNC
CB
MMC
DUK
FIS
EL
TMUS
EQIX
EW
USB
BDX
COP
TFC
CI
CSX
SHW
SO
COF
CME
FISV
HCA
REGN
ICE
ILMN
AON
CL
BSX
ETN
FDX
ITW
ADSK
D
NSC
GM
MCO
ATVI
EMR
WM
APD
NXPI
IDXX
ECL
PGR
JCI
MSCI
A
CMG
HUM
NOC
KLAC
DXCM
ALGN
DG
SNPS
GPN
FCX
ROP
IQV
F
TWTR
TROW
PSA
EXC
VRTX
TEL
LHX
EBAY
AIG
GD
KMB
CARR
CDNS
NEM
MET
TT
BIIB
APH
DOW
AEP
INFO
DLR
RMD
SPG
MCHP
BK
SRE
FTNT
ORLY
MSI
PRU
BAX
EA
ROST
CTSH
APTV
TRV
SYY
ALL
SBAC
EOG
YUM
XLNX
IFF
DD
XEL
SLB
PH
MTD
DFS
PPG
ROK
STZ
OTIS
MPC
WBA
MAR
CNC
WELL
GIS
PAYX
MNST
CTAS
KR
HLT
AFL
PXD
SIVB
FRC
WST
CMI
AWK
HPQ
AZO
EFX
NUE
VRSK
KEYS
ADM
CBRE
TDG
MCK
ANSS
CTVA
PEG
AVB
BLL
AMP
KMI
ZBRA
ES
FAST
STT
WLTW
AME
SWK
WEC
ZBH
AJG
GLW
DHI
LH
CPRT
WMB
SWKS
PSX
LUV
PCAR
GNRC
ALB
EQR
CDW
ARE
ODFL
ETSY
LEN
FITB
IT
DAL
ED
RSG
WY
WAT
O
VLO
GRMN
KSU
HSY
FTV
SYF
DOV
BBY
EXR
URI
HIG
VIAC
XYL
CTLT
NTRS
KHC
PAYC
LYB
TRMB
DTE
VMC
OKE
TSCO
VFC
IP
MLM
PPL
NDAQ
ETR
CERN
HBAN
AEE
TSN
EIX
CZR
CRL
VRSN
FLT
COO
MAA
ENPH
KMX
MKC
ESS
DLTR
VTR
CLX
OXY
PKI
ULTA
EXPD
FE
EXPE
STE
MPWR
HOLX
DGX
NTAP
TDY
CHD
QRVO
IR
DPZ
TER
POOL
BR
TECH
ANET
TYL
KEY
DRI
DRE
PEAK
HPE
RF
HES
AMCR
AVY
CMS
CCL
AKAM
CFG
GWW
ABC
TTWO
TFX
WDC
CINF
RCL
MTB
J
BIO
NVR
MGM
STX
VTRS
CE
GPC
HAL
BKR
BBWI
RJF
DVN
MKTX
ABMD
PFG
IEX
TXT
AES
CAG
NLOK
K
UDR
WAB
PWR
BXP
OMC
EVRG
CAH
CNP
LNT
MAS
EMN
UAL
JBHT
PKG
IPG
LVS
LKQ
IRM
FANG
XRAY
WRK
WHR
INCY
PTC
CBOE
CTXS
FBHS
SJM
LDOS
AAP
BF-B
ALLE
AAL
KIM
PHM
JKHY
PNR
FMC
ATO
HAS
PENN
LYV
HWM
L
LUMN
FFIV
LNC
SNA
FOXA
HRL
RHI
UHS
CHRW
HST
TPR
MHK
HSIC
NRG
WYNN
MOS
DISH
REG
RE
AIZ
WRB
BWA
CMA
CF
NWL
NI
AOS
ZION
IVZ
JNPR
NCLH
DVA
DXC
LW
MRO
SEE
GL
OGN
WU
CPB
TAP
NWSA
BEN
ROL
PNW
FRT
HII
PVH
DISCK
COG
NLSN
ALK
APA
PBCT
HBI
VNO
LEG
IPGP
PRGO
RL
UNM
FOX
GPS
NOV
UAA
DISCA
UA
NWS
